
m p n_1
28 53 841
28 59 11201
28 61 617
28 67 2157
28 71 673
28 73 981
28 79 1933
28 83 1037
28 89 10361
28 97 13021
28 101 2661
28 103 4509
28 107 2437
28 109 1737
28 113 5713
28 127 7589
28 131 12713
28 137 2913
28 139 12293
28 149 1345
28 151 9913
28 157 6497
28 163 1401
28 167 1681
28 173 4537
28 179 1457
28 181 5181
28 191 1989
28 193 4453
28 197 3333
28 199 4593
28 211 3501
28 223 17977
28 227 2493
28 229 6861
28 233 3053
28 239 8289
28 241 1653
28 251 2745
28 257 5685
28 263 3193
28 269 22513
28 271 12209
28 277 21057
28 281 12713
28 283 7337
28 293 5937
28 307 5013
28 311 4369
28 313 3641
28 317 2829
28 331 7365
28 337 10333
28 347 11537
28 349 16437
28 353 15597
28 359 21337
28 367 2297
28 373 13161
28 379 3025
28 383 11621
28 389 5433
28 397 33181
28 401 27441
28 409 5265
28 419 19321
28 421 4285
28 431 6469
28 433 15037
28 439 13749
28 443 3865
28 449 15429
28 457 7729
28 461 15905
28 463 1625
28 467 2521
28 479 14085
28 487 22849
28 491 9185
28 499 5153
28 503 4565
28 509 8905
28 521 5853
28 523 1709
28 541 26909
28 547 19489
28 557 13161
28 563 14673
28 569 11593
28 571 38865
28 577 8065
28 587 22149
28 593 25929
28 599 6525
28 601 31333
28 607 9521
28 613 24977
28 617 2801
28 619 5349
28 631 72941
28 641 26013
28 643 7141
28 647 4089
28 653 55245
28 659 32957
28 661 1877
28 673 13413
28 677 44437
28 683 24277
28 691 10865
28 701 6133
28 709 3809
28 719 5825
28 727 9745
28 733 8317
28 739 71233
28 743 18873
28 751 44745
28 757 12321
28 761 13133
28 769 15037
28 773 3389
28 787 19629
28 797 13049
28 809 38501
28 811 12517

m p n_1
29 31 436
29 37 1654
29 41 755
29 43 523
29 47 552
29 53 871
29 59 11601
29 61 639
29 67 2234
29 71 697
29 73 1016
29 79 2002
29 83 1074
29 89 10731
29 97 13486
29 101 2756
29 103 4670
29 107 2524
29 109 1799
29 113 5917
29 127 7860
29 131 13167
29 137 3017
29 139 12732
29 149 1393
29 151 10267
29 157 6729
29 163 1451
29 167 1741
29 173 4699
29 179 1509
29 181 5366
29 191 2060
29 193 4612
29 197 3452
29 199 4757
29 211 3626
29 223 18619
29 227 2582
29 229 7106
29 233 3162
29 239 8585
29 241 1712
29 251 2843
29 257 5888
29 263 3307
29 269 23317
29 271 12645
29 277 21809
29 281 13167
29 283 7599
29 293 6149
29 307 5192
29 311 4525
29 313 3771
29 317 2930
29 331 7628
29 337 10702
29 347 11949
29 349 17024
29 353 16154
29 359 22099
29 367 2379
29 373 13631
29 379 3133
29 383 12036
29 389 5627
29 397 34366
29 401 28421
29 409 5453
29 419 20011
29 421 4438
29 431 6700
29 433 15574
29 439 14240
29 443 4003
29 449 15980
29 457 8005
29 461 16473
29 463 1683
29 467 2611
29 479 14588
29 487 23665
29 491 9513
29 499 5337
29 503 4728
29 509 9223
29 521 6062
29 523 1770
29 541 27870
29 547 20185
29 557 13631
29 563 15197
29 569 12007
29 571 40253
29 577 8353
29 587 22940
29 593 26855
29 599 6758
29 601 32452
29 607 9861
29 613 25869
29 617 2901
29 619 5540
